tahun,kode_prov,nama_prov,kabkota_4digit,kode_kab_2digit,nama_kab,kelas_kode,kelas,n_individu_tertimbang,n_individu_sample,pop_kab_total,pct_kelas_dalam_kab
2019,12,Sumatera Utara,1224,24,Nias Utara,2,Vulnerable,42525.3268,689,137726.0001,30.8768
2019,12,Sumatera Utara,1224,24,Nias Utara,3,Lower AMC,36524.9622,637,137726.0001,26.5200
2019,12,Sumatera Utara,1224,24,Nias Utara,4,Upper AMC,9192.5788,171,137726.0001,6.6745
2019,12,Sumatera Utara,1224,24,Nias Utara,5,Lower MC,4186.5573,70,137726.0001,3.0398
2019,12,Sumatera Utara,1224,24,Nias Utara,6,Middle MC,438.0578,7,137726.0001,0.3181
2019,12,Sumatera Utara,1224,24,Nias Utara,7,Upper MC,111.7102,3,137726.0001,0.0811
2019,12,Sumatera Utara,1225,25,Nias Barat,1,Poor,34383.9633,925,86575.0011,39.7158
2019,12,Sumatera Utara,1225,25,Nias Barat,2,Vulnerable,29909.7575,876,86575.0011,34.5478
2019,12,Sumatera Utara,1225,25,Nias Barat,3,Lower AMC,16787.2078,450,86575.0011,19.3904
2019,12,Sumatera Utara,1225,25,Nias Barat,4,Upper AMC,3259.0743,88,86575.0011,3.7645
2019,12,Sumatera Utara,1225,25,Nias Barat,5,Lower MC,2137.3565,73,86575.0011,2.4688
2019,12,Sumatera Utara,1225,25,Nias Barat,6,Middle MC,97.6418,3,86575.0011,0.1128
2019,12,Sumatera Utara,1271,71,Sibolga,1,Poor,2623.4207,82,87549.0002,2.9965
2019,12,Sumatera Utara,1271,71,Sibolga,2,Vulnerable,25126.8995,607,87549.0002,28.7004
2019,12,Sumatera Utara,1271,71,Sibolga,3,Lower AMC,34972.0583,837,87549.0002,39.9457
2019,12,Sumatera Utara,1271,71,Sibolga,4,Upper AMC,13413.4597,344,87549.0002,15.3211
2019,12,Sumatera Utara,1271,71,Sibolga,5,Lower MC,11271.9192,288,87549.0002,12.8750
2019,12,Sumatera Utara,1271,71,Sibolga,6,Middle MC,141.2428,6,87549.0002,0.1613
2019,12,Sumatera Utara,1272,72,Tanjung Balai,1,Poor,20812.8224,252,174741.9999,11.9106
2019,12,Sumatera Utara,1272,72,Tanjung Balai,2,Vulnerable,49696.8120,614,174741.9999,28.4401
2019,12,Sumatera Utara,1272,72,Tanjung Balai,3,Lower AMC,64699.4066,837,174741.9999,37.0257
2019,12,Sumatera Utara,1272,72,Tanjung Balai,4,Upper AMC,23241.7329,306,174741.9999,13.3006
2019,12,Sumatera Utara,1272,72,Tanjung Balai,5,Lower MC,16291.2262,203,174741.9999,9.3230
2019,12,Sumatera Utara,1273,73,Pematang Siantar,1,Poor,34967.6143,240,254863.0006,13.7202
2019,12,Sumatera Utara,1273,73,Pematang Siantar,2,Vulnerable,58164.5681,496,254863.0006,22.8219
2019,12,Sumatera Utara,1273,73,Pematang Siantar,3,Lower AMC,87361.7261,685,254863.0006,34.2779
2019,12,Sumatera Utara,1273,73,Pematang Siantar,4,Upper AMC,36691.0249,324,254863.0006,14.3964
2019,12,Sumatera Utara,1273,73,Pematang Siantar,5,Lower MC,35977.9912,327,254863.0006,14.1166
2019,12,Sumatera Utara,1273,73,Pematang Siantar,6,Middle MC,1317.0889,16,254863.0006,0.5168
2019,12,Sumatera Utara,1273,73,Pematang Siantar,8,Upper Class,382.9870,4,254863.0006,0.1503
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,1,Poor,18720.1382,241,163945.9934,11.4185
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,2,Vulnerable,40055.5636,519,163945.9934,24.4322
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,3,Lower AMC,53510.9254,610,163945.9934,32.6394
2019,12,Sumatera Utara,1274,74,Tebing Tinggi,4,Upper AMC,26570.6003,321,163945.9934,16.2069
