kabkota_4digit,kode_prov,nama_prov,kode_kab_2digit,nama_kab
3273,32,Jawa Barat,73,Kota Bandung
3274,32,Jawa Barat,74,Kota Cirebon
3275,32,Jawa Barat,75,Kota Bekasi
3276,32,Jawa Barat,76,Kota Depok
3277,32,Jawa Barat,77,Kota Cimahi
3278,32,Jawa Barat,78,Kota Tasikmalaya
3279,32,Jawa Barat,79,Kota Banjar
3301,33,Jawa Tengah,1,Kab Cilacap
3302,33,Jawa Tengah,2,Kab Banyumas
3303,33,Jawa Tengah,3,Kab Purbalingga
3304,33,Jawa Tengah,4,Kab Banjarnegara
3305,33,Jawa Tengah,5,Kab Kebumen
3306,33,Jawa Tengah,6,Kab Purworejo
3307,33,Jawa Tengah,7,Kab Wonosobo
3308,33,Jawa Tengah,8,Kab Magelang
3309,33,Jawa Tengah,9,Kab Boyolali
3310,33,Jawa Tengah,10,Kab Klaten
3311,33,Jawa Tengah,11,Kab Sukoharjo
3312,33,Jawa Tengah,12,Kab Wonogiri
3313,33,Jawa Tengah,13,Kab Karanganyar
3314,33,Jawa Tengah,14,Kab Sragen
3315,33,Jawa Tengah,15,Kab Grobogan
3316,33,Jawa Tengah,16,Kab Blora
3317,33,Jawa Tengah,17,Kab Rembang
3318,33,Jawa Tengah,18,Kab Pati
3319,33,Jawa Tengah,19,Kab Kudus
3320,33,Jawa Tengah,20,Kab Jepara
3321,33,Jawa Tengah,21,Kab Demak
3322,33,Jawa Tengah,22,Kab Semarang
3323,33,Jawa Tengah,23,Kab Temanggung
3324,33,Jawa Tengah,24,Kab Kendal
3325,33,Jawa Tengah,25,Kab Batang
3326,33,Jawa Tengah,26,Kab Pekalongan
3327,33,Jawa Tengah,27,Kab Pemalang
3328,33,Jawa Tengah,28,Kab Tegal
3329,33,Jawa Tengah,29,Kab Brebes
3371,33,Jawa Tengah,71,Kota Magelang
3372,33,Jawa Tengah,72,Kota Surakarta
3373,33,Jawa Tengah,73,Kota Salatiga
3374,33,Jawa Tengah,74,Kota Semarang
3375,33,Jawa Tengah,75,Kota Pekalongan
3376,33,Jawa Tengah,76,Kota Tegal
3401,34,DI Yogyakarta,1,Kab Kulon Progo
3402,34,DI Yogyakarta,2,Kab Bantul
3403,34,DI Yogyakarta,3,Kab Gunungkidul
3404,34,DI Yogyakarta,4,Kab Sleman
3471,34,DI Yogyakarta,71,Kota Yogyakarta
3501,35,Jawa Timur,1,Kab Pacitan
3502,35,Jawa Timur,2,Kab Ponorogo
3503,35,Jawa Timur,3,Kab Trenggalek
3504,35,Jawa Timur,4,Kab Tulungagung
3505,35,Jawa Timur,5,Kab Blitar
3506,35,Jawa Timur,6,Kab Kediri
3507,35,Jawa Timur,7,Kab Malang
3508,35,Jawa Timur,8,Kab Lumajang
3509,35,Jawa Timur,9,Kab Jember
3510,35,Jawa Timur,10,Kab Banyuwangi
3511,35,Jawa Timur,11,Kab Bondowoso
3512,35,Jawa Timur,12,Kab Situbondo
3513,35,Jawa Timur,13,Kab Probolinggo
3514,35,Jawa Timur,14,Kab Pasuruan
3515,35,Jawa Timur,15,Kab Sidoarjo
3516,35,Jawa Timur,16,Kab Mojokerto
3517,35,Jawa Timur,17,Kab Jombang
3518,35,Jawa Timur,18,Kab Nganjuk
3519,35,Jawa Timur,19,Kab Madiun
3520,35,Jawa Timur,20,Kab Magetan
3521,35,Jawa Timur,21,Kab Ngawi
3522,35,Jawa Timur,22,Kab Bojonegoro
3523,35,Jawa Timur,23,Kab Tuban
3524,35,Jawa Timur,24,Kab Lamongan
3525,35,Jawa Timur,25,Kab Gresik
3526,35,Jawa Timur,26,Kab Bangkalan
3527,35,Jawa Timur,27,Kab Sampang
3528,35,Jawa Timur,28,Kab Pamekasan
3529,35,Jawa Timur,29,Kab Sumenep
3571,35,Jawa Timur,71,Kota Kediri
3572,35,Jawa Timur,72,Kota Blitar
3573,35,Jawa Timur,73,Kota Malang
3574,35,Jawa Timur,74,Kota Probolinggo
3575,35,Jawa Timur,75,Kota Pasuruan
3576,35,Jawa Timur,76,Kota Mojokerto
3577,35,Jawa Timur,77,Kota Madiun
3578,35,Jawa Timur,78,Kota Surabaya
3579,35,Jawa Timur,79,Kota Batu
3601,36,Banten,1,Kab Pandeglang
3602,36,Banten,2,Kab Lebak
3603,36,Banten,3,Kab Tangerang
3604,36,Banten,4,Kab Serang
3671,36,Banten,71,Kota Tangerang
3672,36,Banten,72,Kota Cilegon
3673,36,Banten,73,Kota Serang
3674,36,Banten,74,Kota Tangerang Selatan
5101,51,Bali,1,Kab Jembrana
5102,51,Bali,2,Kab Tabanan
5103,51,Bali,3,Kab Badung
5104,51,Bali,4,Kab Gianyar
5105,51,Bali,5,Kab Klungkung
5106,51,Bali,6,Kab Bangli
5107,51,Bali,7,Kab Karangasem
5108,51,Bali,8,Kab Buleleng
5171,51,Bali,71,Kota Denpasar
5201,52,Nusa Tenggara Barat,1,Kab Lombok Barat
5202,52,Nusa Tenggara Barat,2,Kab Lombok Tengah
5203,52,Nusa Tenggara Barat,3,Kab Lombok Timur
5204,52,Nusa Tenggara Barat,4,Kab Sumbawa
5205,52,Nusa Tenggara Barat,5,Kab Dompu
5206,52,Nusa Tenggara Barat,6,Kab Bima
5207,52,Nusa Tenggara Barat,7,Kab Sumbawa Barat
5208,52,Nusa Tenggara Barat,8,Kab Lombok Utara
5271,52,Nusa Tenggara Barat,71,Kota Mataram
