desa_id,kabkota_id_full,nama_desa,nama_kabkota,vintage_year,sektor,count_total,potensi_weighted
5,3172,Cipinang Besar Utara,Jakarta Timur,2018,9,27,109926714.28571428
3,3172,Munjul,Jakarta Timur,2020,9,31,109926714.28571428
4,3173,Kebon Kelapa,Jakarta Pusat,2025,7,9,109668594.28091198
5,3174,Kamal,Jakarta Barat,2025,9,29,109161372.30711569
6,3174,Kembangan Utara,Jakarta Barat,2018,7,7,107681237.09745345
5,3171,Petukangan Utara,Jakarta Selatan,2025,9,15,106330441.99934974
3,3174,Taman Sari,Jakarta Barat,2018,9,8,104968688.30851844
4,3174,Meruya Utara,Jakarta Barat,2018,9,20,104968688.30851844
2,3101,Pulau Pari,Kepulauan Seribu,2021,7,41,104782341.15626788
3,3173,Gambir,Jakarta Pusat,2018,7,17,103694562.87239462
4,3173,Gondangdia,Jakarta Pusat,2021,7,17,103694562.87239462
9,3174,Tambora,Jakarta Barat,2020,9,19,102052891.41105959
9,3174,Tambora,Jakarta Barat,2021,9,19,102052891.41105959
7,3172,Pulo Gadung,Jakarta Timur,2025,9,22,101952417.58476843
1,3171,Kalibata,Jakarta Selatan,2018,9,27,100619637.01809862
8,3174,Jembatan Lima,Jakarta Barat,2018,9,26,99137094.51360074
1,3172,Pondok Ranggon,Jakarta Timur,2024,9,16,97428456.65866585
3,3101,Pulau Untung Jawa,Kepulauan Seribu,2021,7,9,97115340.58385804
3,3101,Pulau Untung Jawa,Kepulauan Seribu,2020,7,9,97115340.58385804
1,3101,Pulau Panggang,Kepulauan Seribu,2021,9,33,97043700.34052214
2,3174,Duri Selatan,Jakarta Barat,2020,9,21,96221297.61614189
5,3173,Utan Panjang,Jakarta Pusat,2018,9,28,93007547.51480813
5,3173,Utan Panjang,Jakarta Pusat,2020,9,28,93007547.51480813
3,3173,Gambir,Jakarta Pusat,2025,7,18,92532876.42451948
2,3101,Pulau Kelapa,Kepulauan Seribu,2020,9,29,91868036.32236096
4,3171,Karet,Jakarta Selatan,2018,7,6,91602052.97725198
4,3171,Karet,Jakarta Selatan,2020,7,6,91602052.97725198
3,3172,Baru,Jakarta Timur,2024,9,11,91339178.11749923
5,3172,Setu,Jakarta Timur,2021,9,24,87941371.42857143
7,3174,Kedoya Utara,Jakarta Barat,2018,9,14,87473906.92376536
3,3172,Baru,Jakarta Timur,2018,9,7,84800608.1632653
3,3101,Pulau Untung Jawa,Kepulauan Seribu,2024,7,25,84597845.84980237
8,3171,Setia Budi,Jakarta Selatan,2025,7,13,82240811.16247381
6,3175,Kebon Bawang,Jakarta Utara,2018,9,14,78991386.39431825
1,3174,Sukabumi Selatan,Jakarta Barat,2018,9,15,78726516.23138882
1,3172,Bale Kambang,Jakarta Timur,2018,9,21,78519081.63265306
7,3172,Pulo Gadung,Jakarta Timur,2021,9,21,78519081.63265306
3,3172,Munjul,Jakarta Timur,2018,9,21,78519081.63265306
7,3172,Pulo Gadung,Jakarta Timur,2020,9,21,78519081.63265306
7,3172,Pulo Gadung,Jakarta Timur,2018,9,21,78519081.63265306
4,3171,Kebon Baru,Jakarta Selatan,2020,9,26,76788670.35591738
6,3171,Cikoko,Jakarta Selatan,2021,9,18,76788670.35591736
2,3101,Pulau Kelapa,Kepulauan Seribu,2021,9,26,76341044.26787741
5,3171,Bukit Duri,Jakarta Selatan,2025,9,13,75950315.71382125
6,3174,Cengkareng Barat,Jakarta Barat,2024,9,4,75548657.79058221
3,3172,Munjul,Jakarta Timur,2021,9,17,75378318.36734694
8,3171,Setia Budi,Jakarta Selatan,2021,7,6,73281642.38180158
1,3171,Karet Semanggi,Jakarta Selatan,2021,7,6,73281642.38180158
9,3174,Tambora,Jakarta Barat,2018,9,13,72894922.43647113
4,3172,Kayu Manis,Jakarta Timur,2025,9,12,72823155.41769174
3,3172,Munjul,Jakarta Timur,2025,9,16,72823155.41769174
1,3173,Harapan Mulya,Jakarta Pusat,2018,9,26,71544267.31908318
4,3175,Warakas,Jakarta Utara,2018,9,13,70528023.56635559
2,3172,Makasar,Jakarta Timur,2020,9,11,69096791.8367347
2,3172,Makasar,Jakarta Timur,2021,9,11,69096791.8367347
5,3172,Cipinang Melayu,Jakarta Timur,2020,9,11,69096791.8367347
4,3172,Cipinang Muara,Jakarta Timur,2024,9,11,66982063.95283277
3,3101,Pulau Untung Jawa,Kepulauan Seribu,2018,7,26,66447338.29421866
3,3175,Marunda,Jakarta Utara,2018,9,20,64885781.68104713
4,3171,Kebon Baru,Jakarta Selatan,2018,9,24,63549244.432483345
4,3173,Gondangdia,Jakarta Pusat,2025,7,6,61688584.283012986
1,3171,Karet Semanggi,Jakarta Selatan,2018,7,12,61068035.318167984
5,3172,Utan Kayu Selatan,Jakarta Timur,2024,9,2,60892785.411666155
1,3172,Kebon Manggis,Jakarta Timur,2021,7,18,59808909.78855855
1,3173,Harapan Mulya,Jakarta Pusat,2021,9,25,59620222.76590265
1,3173,Harapan Mulya,Jakarta Pusat,2020,9,25,59620222.76590265
1,3172,Pondok Ranggon,Jakarta Timur,2025,9,16,58258524.334153384
6,3171,Cikoko,Jakarta Selatan,2025,9,16,57722239.94250415
5,3172,Utan Kayu Selatan,Jakarta Timur,2018,9,6,56533738.77551021
4,3172,Kayu Manis,Jakarta Timur,2018,9,6,56533738.77551021
8,3172,Kampung Melayu,Jakarta Timur,2018,9,14,56533738.77551021
6,3174,Kembangan Utara,Jakarta Barat,2020,9,7,55400141.05171806
3,3175,Marunda,Jakarta Utara,2020,9,19,53601297.91043024
3,3175,Marunda,Jakarta Utara,2021,9,19,53601297.91043024
7,3171,Manggarai,Jakarta Selatan,2021,9,20,52957703.69373612
7,3171,Manggarai,Jakarta Selatan,2020,9,20,52957703.69373612
2,3174,Sukabumi Utara,Jakarta Barat,2018,9,14,52484344.15425921
6,3171,Cikoko,Jakarta Selatan,2020,7,8,51907830.020442784
5,3172,Utan Kayu Selatan,Jakarta Timur,2025,9,6,50976208.792384215
1,3172,Pondok Ranggon,Jakarta Timur,2021,9,16,50252212.24489796
5,3174,Krendang,Jakarta Barat,2020,9,17,49568547.25680037
4,3172,Kayu Manis,Jakarta Timur,2021,9,11,47111448.97959184
4,3172,Kayu Manis,Jakarta Timur,2020,9,11,47111448.97959184
5,3172,Malaka Jaya,Jakarta Timur,2018,9,14,43970685.71428572
2,3101,Pulau Kelapa,Kepulauan Seribu,2025,7,10,43132779.95642701
1,3171,Karet Semanggi,Jakarta Selatan,2020,7,8,42747624.72271758
8,3171,Selong,Jakarta Selatan,2018,7,3,36640821.19090079
3,3172,Pisangan Baru,Jakarta Timur,2018,9,11,34548395.91836735
2,3101,Pulau Kelapa,Kepulauan Seribu,2024,7,10,33839138.339920945
4,3171,Karet,Jakarta Selatan,2020,9,12,31774622.216241673
8,3171,Selong,Jakarta Selatan,2024,7,1,31271584.516624227
7,3171,Guntur,Jakarta Selatan,2021,7,4,30534017.659083992
4,3173,Galur,Jakarta Pusat,2018,9,12,28617706.92763327
4,3173,Galur,Jakarta Pusat,2020,9,12,28617706.92763327
4,3171,Karet,Jakarta Selatan,2018,9,10,26478851.84686806
2,3173,Kampung Rawa,Jakarta Pusat,2018,9,11,26232898.016997166
2,3173,Kampung Rawa,Jakarta Pusat,2021,9,11,26232898.016997166
2,3173,Kampung Rawa,Jakarta Pusat,2020,9,11,26232898.016997166
8,3171,Setia Budi,Jakarta Selatan,2018,7,2,24427214.127267193
8,3171,Selong,Jakarta Selatan,2021,7,2,18320410.595450394
2,3172,Kalisari,Jakarta Timur,2024,9,3,18267835.623499848
6,3174,Kembangan Utara,Jakarta Barat,2018,9,2,17494781.38475307
